"Year","Africa","Asia","Europe","Oceania","South America","World"
1950,6.561,6.048,2.644,3.727,5.606,5.05
1951,6.563,5.982,2.65,3.774,5.608,5.024
1952,6.568,5.862,2.662,3.861,5.614,4.977
1953,6.575,5.765,2.671,3.935,5.62,4.941
1954,6.584,5.691,2.676,3.996,5.627,4.916
1955,6.595,5.639,2.677,4.044,5.634,4.901
1956,6.607,5.61,2.676,4.078,5.641,4.897
1957,6.621,5.602,2.671,4.099,5.648,4.902
1958,6.635,5.613,2.662,4.106,5.652,4.916
1959,6.651,5.641,2.649,4.1,5.651,4.936
1960,6.665,5.68,2.631,4.079,5.642,4.96
1961,6.679,5.725,2.609,4.045,5.622,4.985
1962,6.69,5.771,2.583,3.998,5.588,5.006
1963,6.699,5.81,2.551,3.939,5.538,5.021
1964,6.705,5.835,2.516,3.871,5.472,5.026
1965,6.709,5.839,2.478,3.798,5.388,5.016
1966,6.71,5.817,2.437,3.722,5.29,4.991
1967,6.711,5.769,2.395,3.646,5.18,4.95
1968,6.711,5.695,2.353,3.571,5.063,4.894
1969,6.711,5.596,2.312,3.499,4.943,4.824
1970,6.71,5.469,2.271,3.427,4.825,4.738
1971,6.709,5.316,2.23,3.351,4.714,4.638
1972,6.706,5.14,2.189,3.269,4.612,4.524
1973,6.701,4.95,2.148,3.18,4.518,4.403
1974,6.693,4.752,2.107,3.086,4.434,4.277
1975,6.682,4.557,2.067,2.991,4.359,4.153
1976,6.67,4.372,2.03,2.9,4.288,4.035
1977,6.654,4.204,1.996,2.82,4.219,3.928
1978,6.637,4.057,1.966,2.754,4.148,3.834
1979,6.616,3.933,1.94,2.703,4.073,3.754
1980,6.59,3.837,1.918,2.666,3.992,3.691
1981,6.56,3.766,1.901,2.64,3.905,3.643
1982,6.523,3.715,1.888,2.62,3.813,3.607
1983,6.479,3.675,1.878,2.603,3.719,3.578
1984,6.428,3.641,1.868,2.587,3.624,3.553
1985,6.369,3.605,1.855,2.571,3.529,3.524
1986,6.301,3.556,1.837,2.555,3.436,3.487
1987,6.224,3.492,1.812,2.542,3.347,3.439
1988,6.141,3.411,1.78,2.533,3.263,3.379
1989,6.052,3.313,1.741,2.526,3.184,3.307
1990,5.96,3.203,1.696,2.522,3.111,3.227
1991,5.867,3.087,1.648,2.518,3.043,3.143
1992,5.775,2.975,1.6,2.515,2.979,3.061
1993,5.686,2.875,1.555,2.511,2.917,2.987
1994,5.602,2.789,1.515,2.505,2.858,2.922
1995,5.523,2.719,1.482,2.499,2.799,2.868
1996,5.45,2.664,1.455,2.49,2.741,2.824
1997,5.381,2.619,1.435,2.481,2.682,2.787
1998,5.316,2.58,1.421,2.473,2.622,2.755
1999,5.255,2.545,1.413,2.465,2.563,2.726
2000,5.199,2.513,1.411,2.46,2.504,2.701
2001,5.147,2.483,1.416,2.46,2.445,2.678
2002,5.099,2.456,1.428,2.466,2.388,2.659
2003,5.056,2.431,1.445,2.477,2.333,2.642
2004,5.017,2.407,1.467,2.491,2.281,2.627
2005,4.981,2.384,1.491,2.506,2.233,2.613
2006,4.947,2.36,1.516,2.518,2.19,2.6
2007,4.916,2.336,1.539,2.525,2.152,2.587
2008,4.886,2.312,1.559,2.524,2.118,2.575
2009,4.856,2.288,1.575,2.516,2.088,2.562
2010,4.823,2.264,1.588,2.5,2.063,2.549
2011,4.787,2.242,1.596,2.479,2.041,2.536
2012,4.746,2.222,1.601,2.456,2.023,2.524
2013,4.7,2.204,1.604,2.433,2.007,2.512
2014,4.648,2.189,1.607,2.412,1.992,2.501
2015,4.593,2.176,1.608,2.393,1.978,2.491
2016,4.534,2.165,1.609,2.378,1.964,2.481
2017,4.473,2.154,1.61,2.363,1.951,2.472
2018,4.413,2.143,1.61,2.35,1.937,2.462
2019,4.353,2.133,1.61,2.337,1.922,2.452
2020,4.295,2.121,1.611,2.325,1.908,2.442
